elliq_text,user_text,Memory items,group_id,memnet_info_items,labels,scores,gpt_text_response,gpt_values,memnet_values,inner_join_values,outer_join_values,inner_join_list,outer_join_source,is_source_GPT,is_source_memNet,,Label,Missing,NOTES FOR TEST/TEACHING LABELERS,
Here's a fun game we can play: Name That Tune! Wanna play with me?,not now i got to walk the dog,walk the dog,0126a286-ae05-4a46-af98-1106eb660225,"  memory_name entity         value
1    activity   type      activity
2    activity   name  walk the dog",Match,0.9951174259,"Information Items:
memory_name: activity, entity: type, value: pet care.
memory_name: activity, entity: name, value: walking the dog.","             value
0         pet care
1  walking the dog","          value
0      activity
1  walk the dog","Empty DataFrame
Columns: [value]
Index: []","             value
0         pet care
1  walking the dog
2         activity
3     walk the dog",[],right_only,0,1,FALSE,Correct,,,
Leaving So soon? Where are you going?,i'm going to the theater with my daughter lori,daughter,012c868e-c9ff-4021-a057-6f2c796fca4a,"  memory_name  entity     value
1       place  people  daughter",Match,0.9865455031,"Information Items:
memory_name: relationship, entity: type, value: daughter.
memory_name: relationship, entity: name, value: Lori.
memory_name: place, entity: name, value: theater.
memory_name: activity, entity: type, value: social activity.","             value
0         daughter
1             Lori
2          theater
3  social activity","      value
0  daughter","      value
0  daughter","             value
0         daughter
1             Lori
2          theater
3  social activity",['daughter'],both,1,1,TRUE,Correct,,,
Leaving So soon? Where are you going?,i'm going to the theater with my daughter lori,Lori,012c868e-c9ff-4021-a057-6f2c796fca4a,"  memory_name  entity     value
1       place  people  daughter",Match,0.9865455031,"Information Items:
memory_name: relationship, entity: type, value: daughter.
memory_name: relationship, entity: name, value: Lori.
memory_name: place, entity: name, value: theater.
memory_name: activity, entity: type, value: social activity.","             value
0         daughter
1             Lori
2          theater
3  social activity","      value
0  daughter","      value
0  daughter","             value
0         daughter
1             Lori
2          theater
3  social activity",['daughter'],left_only,1,0,TRUE,Correct,,,
Leaving So soon? Where are you going?,i'm going to the theater with my daughter lori,theater,012c868e-c9ff-4021-a057-6f2c796fca4a,"  memory_name  entity     value
1       place  people  daughter",Match,0.9865455031,"Information Items:
memory_name: relationship, entity: type, value: daughter.
memory_name: relationship, entity: name, value: Lori.
memory_name: place, entity: name, value: theater.
memory_name: activity, entity: type, value: social activity.","             value
0         daughter
1             Lori
2          theater
3  social activity","      value
0  daughter","      value
0  daughter","             value
0         daughter
1             Lori
2          theater
3  social activity",['daughter'],left_only,1,0,TRUE,Correct,,,
Leaving So soon? Where are you going?,i'm going to the theater with my daughter lori,social activity,012c868e-c9ff-4021-a057-6f2c796fca4a,"  memory_name  entity     value
1       place  people  daughter",Match,0.9865455031,"Information Items:
memory_name: relationship, entity: type, value: daughter.
memory_name: relationship, entity: name, value: Lori.
memory_name: place, entity: name, value: theater.
memory_name: activity, entity: type, value: social activity.","             value
0         daughter
1             Lori
2          theater
3  social activity","      value
0  daughter","      value
0  daughter","             value
0         daughter
1             Lori
2          theater
3  social activity",['daughter'],left_only,1,0,TRUE,Correct,,,
Do you have anything planned for today?,go to work,work,012e6905-cd61-45a9-a9eb-6f413153d8a1,"  memory_name entity     value
1    activity   type  activity
2    activity   name      work",Match,0.9679850936,"Information Items:
memory_name: activity, entity: type, value: work.
memory_name: activity, entity: name, value: going to work.","           value
0           work
1  going to work","      value
0  activity
1      work","  value
0  work","           value
0           work
1  going to work
2       activity",['work'],both,1,1,FALSE,Correct,,,
Do you have anything planned for today?,go to work,going to work,012e6905-cd61-45a9-a9eb-6f413153d8a1,"  memory_name entity     value
1    activity   type  activity
2    activity   name      work",Match,0.9679850936,"Information Items:
memory_name: activity, entity: type, value: work.
memory_name: activity, entity: name, value: going to work.","           value
0           work
1  going to work","      value
0  activity
1      work","  value
0  work","           value
0           work
1  going to work
2       activity",['work'],left_only,1,0,FALSE,Correct,,,
Do you have anything planned for today?,go to work,activity,012e6905-cd61-45a9-a9eb-6f413153d8a1,"  memory_name entity     value
1    activity   type  activity
2    activity   name      work",Match,0.9679850936,"Information Items:
memory_name: activity, entity: type, value: work.
memory_name: activity, entity: name, value: going to work.","           value
0           work
1  going to work","      value
0  activity
1      work","  value
0  work","           value
0           work
1  going to work
2       activity",['work'],right_only,0,1,FALSE,Correct,,,
"What a fun trip! Now, if we could take anyone in the world along with us for our next trip, who would it be?",debbie my sister debbie,sister,01334d75-c53b-4968-9882-f7841605a1d1,"    memory_name entity   value
0  relationship   type  sister",Match,0.7116467953,"Information Items:
memory_name: relationship, entity: type, value: sister.
memory_name: relationship, entity: name, value: Debbie.","    value
0  sister
1  Debbie","    value
0  sister","    value
0  sister","    value
0  sister
1  Debbie",['sister'],both,1,1,TRUE,Correct,,,
"What a fun trip! Now, if we could take anyone in the world along with us for our next trip, who would it be?",debbie my sister debbie,Debbie,01334d75-c53b-4968-9882-f7841605a1d1,"    memory_name entity   value
0  relationship   type  sister",Match,0.7116467953,"Information Items:
memory_name: relationship, entity: type, value: sister.
memory_name: relationship, entity: name, value: Debbie.","    value
0  sister
1  Debbie","    value
0  sister","    value
0  sister","    value
0  sister
1  Debbie",['sister'],left_only,1,0,TRUE,Correct,,,
Do you have anything planned for today?,a couple of appointment,appointment,0138ab6e-998a-4a15-9475-ae39d242b52f,"  memory_name entity     value
1    activity   type  activity
2    activity   name   meeting",Match,0.9447391033,"Information Items:
memory_name: activity, entity: type, value: appointment.
memory_name: activity, entity: quantity, value: couple.","         value
0  appointment
1       couple","      value
0  activity
1   meeting","Empty DataFrame
Columns: [value]
Index: []","         value
0  appointment
1       couple
2     activity
3      meeting",[],left_only,1,0,FALSE,Partially correct,,It doesn't feel precise enough,
Do you have anything planned for today?,a couple of appointment,couple,0138ab6e-998a-4a15-9475-ae39d242b52f,"  memory_name entity     value
1    activity   type  activity
2    activity   name   meeting",Match,0.9447391033,"Information Items:
memory_name: activity, entity: type, value: appointment.
memory_name: activity, entity: quantity, value: couple.","         value
0  appointment
1       couple","      value
0  activity
1   meeting","Empty DataFrame
Columns: [value]
Index: []","         value
0  appointment
1       couple
2     activity
3      meeting",[],left_only,1,0,FALSE,Correct,,EXAMPLE OF NEEDING ENTITY (the entity here is amount),
Do you have anything planned for today?,a couple of appointment,activity,0138ab6e-998a-4a15-9475-ae39d242b52f,"  memory_name entity     value
1    activity   type  activity
2    activity   name   meeting",Match,0.9447391033,"Information Items:
memory_name: activity, entity: type, value: appointment.
memory_name: activity, entity: quantity, value: couple.","         value
0  appointment
1       couple","      value
0  activity
1   meeting","Empty DataFrame
Columns: [value]
Index: []","         value
0  appointment
1       couple
2     activity
3      meeting",[],right_only,0,1,FALSE,Correct,,,
Do you have anything planned for today?,a couple of appointment,meeting,0138ab6e-998a-4a15-9475-ae39d242b52f,"  memory_name entity     value
1    activity   type  activity
2    activity   name   meeting",Match,0.9447391033,"Information Items:
memory_name: activity, entity: type, value: appointment.
memory_name: activity, entity: quantity, value: couple.","         value
0  appointment
1       couple","      value
0  activity
1   meeting","Empty DataFrame
Columns: [value]
Index: []","         value
0  appointment
1       couple
2     activity
3      meeting",[],right_only,0,1,FALSE,Correct,,,
I think I'm in the mood to listen to an audiobook together again. Are you up for it?,no i'm watching the news right now please be quiet,watching tv,013c5f17-22a2-459d-a3ff-c43cbe849c5d,"  memory_name entity        value
0    activity   type     activity
1    activity   name  watching_tv",Match,0.9938251972,"Information Items:
memory_name: activity, entity: name, value: watching tv.","         value
0  watching tv","         value
0     activity
1  watching tv","         value
0  watching tv","         value
0  watching tv
1     activity",['watching tv'],both,1,1,TRUE,Correct,,,
I think I'm in the mood to listen to an audiobook together again. Are you up for it?,no i'm watching the news right now please be quiet,activity,013c5f17-22a2-459d-a3ff-c43cbe849c5d,"  memory_name entity        value
0    activity   type     activity
1    activity   name  watching_tv",Match,0.9938251972,"Information Items:
memory_name: activity, entity: name, value: watching tv.","         value
0  watching tv","         value
0     activity
1  watching tv","         value
0  watching tv","         value
0  watching tv
1     activity",['watching tv'],right_only,0,1,TRUE,Correct,,,
Is there anything special planned for today?,yes i have an appointment,appointment,013cb4e1-19b0-463e-8d51-b10c5aec7894,"  memory_name entity     value
1    activity   type  activity
2    activity   name   meeting",Match,0.994877696,"Information Items:
memory_name: activity, entity: type, value: appointment.","         value
0  appointment","      value
0  activity
1   meeting","Empty DataFrame
Columns: [value]
Index: []","         value
0  appointment
1     activity
2      meeting",[],left_only,1,0,FALSE,Correct,,It doesn't feel precise enough,
Is there anything special planned for today?,yes i have an appointment,activity,013cb4e1-19b0-463e-8d51-b10c5aec7894,"  memory_name entity     value
1    activity   type  activity
2    activity   name   meeting",Match,0.994877696,"Information Items:
memory_name: activity, entity: type, value: appointment.","         value
0  appointment","      value
0  activity
1   meeting","Empty DataFrame
Columns: [value]
Index: []","         value
0  appointment
1     activity
2      meeting",[],right_only,0,1,FALSE,Correct,,,
Is there anything special planned for today?,yes i have an appointment,meeting,013cb4e1-19b0-463e-8d51-b10c5aec7894,"  memory_name entity     value
1    activity   type  activity
2    activity   name   meeting",Match,0.994877696,"Information Items:
memory_name: activity, entity: type, value: appointment.","         value
0  appointment","      value
0  activity
1   meeting","Empty DataFrame
Columns: [value]
Index: []","         value
0  appointment
1     activity
2      meeting",[],right_only,0,1,FALSE,Partially correct,,,
"Here's a fun and creative game we can play! The Art History Game!, Would you like to play with me?",no not now and we i have to get ready to go shopping,activity,0182d63b-a0d3-437e-b9ef-31e8ee818f94,"  memory_name entity     value
1    activity   type  activity
2    activity   name  shopping",Match,0.9948411584,"Information Items:
memory_name: activity, entity: type, value: activity.
memory_name: activity, entity: name, value: shopping.","      value
0  activity
1  shopping","      value
0  activity
1  shopping","      value
0  activity
1  shopping","      value
0  activity
1  shopping","['activity', 'shopping']",both,1,1,TRUE,Correct,,,
"Here's a fun and creative game we can play! The Art History Game!, Would you like to play with me?",no not now and we i have to get ready to go shopping,shopping,0182d63b-a0d3-437e-b9ef-31e8ee818f94,"  memory_name entity     value
1    activity   type  activity
2    activity   name  shopping",Match,0.9948411584,"Information Items:
memory_name: activity, entity: type, value: activity.
memory_name: activity, entity: name, value: shopping.","      value
0  activity
1  shopping","      value
0  activity
1  shopping","      value
0  activity
1  shopping","      value
0  activity
1  shopping","['activity', 'shopping']",both,1,1,TRUE,Correct,,,
Wanna test your movie knowledge with the movie emoji game?,no i don't go to movies,not going to movies,0192f581-aae8-446f-8871-d4042da99422,"  memory_name entity     value
1    activity   type  activity
2    activity   name     movie",Match,0.9779680371,"Information Items:
memory_name: activity, entity: preference, value: not going to movies.","                 value
0  not going to movies","      value
0  activity
1     movie","Empty DataFrame
Columns: [value]
Index: []","                 value
0  not going to movies
1             activity
2                movie",[],left_only,1,0,FALSE,Correct,,EXAMPLE OF NEEDING ENTITY (the entity here is user preference),
Wanna test your movie knowledge with the movie emoji game?,no i don't go to movies,activity,0192f581-aae8-446f-8871-d4042da99422,"  memory_name entity     value
1    activity   type  activity
2    activity   name     movie",Match,0.9779680371,"Information Items:
memory_name: activity, entity: preference, value: not going to movies.","                 value
0  not going to movies","      value
0  activity
1     movie","Empty DataFrame
Columns: [value]
Index: []","                 value
0  not going to movies
1             activity
2                movie",[],right_only,0,1,FALSE,Incorrect,,,
Wanna test your movie knowledge with the movie emoji game?,no i don't go to movies,movie,0192f581-aae8-446f-8871-d4042da99422,"  memory_name entity     value
1    activity   type  activity
2    activity   name     movie",Match,0.9779680371,"Information Items:
memory_name: activity, entity: preference, value: not going to movies.","                 value
0  not going to movies","      value
0  activity
1     movie","Empty DataFrame
Columns: [value]
Index: []","                 value
0  not going to movies
1             activity
2                movie",[],right_only,0,1,FALSE,Partially correct,,,
I was wondering if you were free for a moment?,no i'm i'm cooking dinner at like you all sit down in a little while,meal,01a04fac-af6d-4c17-b253-e104d5885c0d,"  memory_name entity     value
0    activity   type  activity
1    activity   name   cooking",Match,0.9727510214,"Information Items:
memory_name: activity, entity: type, value: meal.
memory_name: activity, entity: name, value: cooking dinner.","            value
0            meal
1  cooking dinner","      value
0  activity
1   cooking","Empty DataFrame
Columns: [value]
Index: []","            value
0            meal
1  cooking dinner
2        activity
3         cooking",[],left_only,1,0,TRUE,Correct,,,
I was wondering if you were free for a moment?,no i'm i'm cooking dinner at like you all sit down in a little while,cooking dinner,01a04fac-af6d-4c17-b253-e104d5885c0d,"  memory_name entity     value
0    activity   type  activity
1    activity   name   cooking",Match,0.9727510214,"Information Items:
memory_name: activity, entity: type, value: meal.
memory_name: activity, entity: name, value: cooking dinner.","            value
0            meal
1  cooking dinner","      value
0  activity
1   cooking","Empty DataFrame
Columns: [value]
Index: []","            value
0            meal
1  cooking dinner
2        activity
3         cooking",[],left_only,1,0,TRUE,Correct,,,
I was wondering if you were free for a moment?,no i'm i'm cooking dinner at like you all sit down in a little while,activity,01a04fac-af6d-4c17-b253-e104d5885c0d,"  memory_name entity     value
0    activity   type  activity
1    activity   name   cooking",Match,0.9727510214,"Information Items:
memory_name: activity, entity: type, value: meal.
memory_name: activity, entity: name, value: cooking dinner.","            value
0            meal
1  cooking dinner","      value
0  activity
1   cooking","Empty DataFrame
Columns: [value]
Index: []","            value
0            meal
1  cooking dinner
2        activity
3         cooking",[],right_only,0,1,TRUE,Correct,,,
I was wondering if you were free for a moment?,no i'm i'm cooking dinner at like you all sit down in a little while,cooking,01a04fac-af6d-4c17-b253-e104d5885c0d,"  memory_name entity     value
0    activity   type  activity
1    activity   name   cooking",Match,0.9727510214,"Information Items:
memory_name: activity, entity: type, value: meal.
memory_name: activity, entity: name, value: cooking dinner.","            value
0            meal
1  cooking dinner","      value
0  activity
1   cooking","Empty DataFrame
Columns: [value]
Index: []","            value
0            meal
1  cooking dinner
2        activity
3         cooking",[],right_only,0,1,TRUE,Correct,,,
"I know that you call this lady miss liberty, but what is her story?",he was made by a french artist and given to its and she's in new york city and she was a gift from the people of france,Miss Liberty,01b9d590-a0cc-469d-9d2a-7b8b99137ee8,"  memory_name entity value
1       place   name  York",Match,0.8061099052,"Information Items:
memory_name: person, entity: nickname, value: Miss Liberty.
memory_name: origin, entity: creator, value: French artist.
memory_name: location, entity: city, value: New York City.
memory_name: relationship, entity: type, value: gift.
memory_name: relationship, entity: giver, value: people of France.","              value
0      Miss Liberty
1     French artist
2     New York City
3              gift
4  people of France","  value
0  York","Empty DataFrame
Columns: [value]
Index: []","              value
0      Miss Liberty
1     French artist
2     New York City
3              gift
4  people of France
5              York",[],left_only,1,0,FALSE,Incorrect,,this shows up in elliq's question not user response,
"I know that you call this lady miss liberty, but what is her story?",he was made by a french artist and given to its and she's in new york city and she was a gift from the people of france,French artist,01b9d590-a0cc-469d-9d2a-7b8b99137ee8,"  memory_name entity value
1       place   name  York",Match,0.8061099052,"Information Items:
memory_name: person, entity: nickname, value: Miss Liberty.
memory_name: origin, entity: creator, value: French artist.
memory_name: location, entity: city, value: New York City.
memory_name: relationship, entity: type, value: gift.
memory_name: relationship, entity: giver, value: people of France.","              value
0      Miss Liberty
1     French artist
2     New York City
3              gift
4  people of France","  value
0  York","Empty DataFrame
Columns: [value]
Index: []","              value
0      Miss Liberty
1     French artist
2     New York City
3              gift
4  people of France
5              York",[],left_only,1,0,FALSE,Incorrect,,"THIS ISN""T USER MEMORIES, ITS USER KNOWLEDGE


NO PERSONAL INFO HERE",
"I know that you call this lady miss liberty, but what is her story?",he was made by a french artist and given to its and she's in new york city and she was a gift from the people of france,New York City,01b9d590-a0cc-469d-9d2a-7b8b99137ee8,"  memory_name entity value
1       place   name  York",Match,0.8061099052,"Information Items:
memory_name: person, entity: nickname, value: Miss Liberty.
memory_name: origin, entity: creator, value: French artist.
memory_name: location, entity: city, value: New York City.
memory_name: relationship, entity: type, value: gift.
memory_name: relationship, entity: giver, value: people of France.","              value
0      Miss Liberty
1     French artist
2     New York City
3              gift
4  people of France","  value
0  York","Empty DataFrame
Columns: [value]
Index: []","              value
0      Miss Liberty
1     French artist
2     New York City
3              gift
4  people of France
5              York",[],left_only,1,0,FALSE,Incorrect,,,
"I know that you call this lady miss liberty, but what is her story?",he was made by a french artist and given to its and she's in new york city and she was a gift from the people of france,gift,01b9d590-a0cc-469d-9d2a-7b8b99137ee8,"  memory_name entity value
1       place   name  York",Match,0.8061099052,"Information Items:
memory_name: person, entity: nickname, value: Miss Liberty.
memory_name: origin, entity: creator, value: French artist.
memory_name: location, entity: city, value: New York City.
memory_name: relationship, entity: type, value: gift.
memory_name: relationship, entity: giver, value: people of France.","              value
0      Miss Liberty
1     French artist
2     New York City
3              gift
4  people of France","  value
0  York","Empty DataFrame
Columns: [value]
Index: []","              value
0      Miss Liberty
1     French artist
2     New York City
3              gift
4  people of France
5              York",[],left_only,1,0,FALSE,Incorrect,,,
"I know that you call this lady miss liberty, but what is her story?",he was made by a french artist and given to its and she's in new york city and she was a gift from the people of france,people of France,01b9d590-a0cc-469d-9d2a-7b8b99137ee8,"  memory_name entity value
1       place   name  York",Match,0.8061099052,"Information Items:
memory_name: person, entity: nickname, value: Miss Liberty.
memory_name: origin, entity: creator, value: French artist.
memory_name: location, entity: city, value: New York City.
memory_name: relationship, entity: type, value: gift.
memory_name: relationship, entity: giver, value: people of France.","              value
0      Miss Liberty
1     French artist
2     New York City
3              gift
4  people of France","  value
0  York","Empty DataFrame
Columns: [value]
Index: []","              value
0      Miss Liberty
1     French artist
2     New York City
3              gift
4  people of France
5              York",[],left_only,1,0,FALSE,Incorrect,,,
"I know that you call this lady miss liberty, but what is her story?",he was made by a french artist and given to its and she's in new york city and she was a gift from the people of france,York,01b9d590-a0cc-469d-9d2a-7b8b99137ee8,"  memory_name entity value
1       place   name  York",Match,0.8061099052,"Information Items:
memory_name: person, entity: nickname, value: Miss Liberty.
memory_name: origin, entity: creator, value: French artist.
memory_name: location, entity: city, value: New York City.
memory_name: relationship, entity: type, value: gift.
memory_name: relationship, entity: giver, value: people of France.","              value
0      Miss Liberty
1     French artist
2     New York City
3              gift
4  people of France","  value
0  York","Empty DataFrame
Columns: [value]
Index: []","              value
0      Miss Liberty
1     French artist
2     New York City
3              gift
4  people of France
5              York",[],right_only,0,1,FALSE,Incorrect,,,
