elliq_text,user_text,group_id,memnet_info_items,valid_memNet_info_items,num_valid_memNet_info_items,labels,scores,gpt_text_response,gpt_info_items
I think I'm in the mood to listen to an audiobook together again. Are you up for it?,no i'm watching the news right now please be quiet,013c5f17-22a2-459d-a3ff-c43cbe849c5d,"  memory_name entity        value
0    activity   type     activity
1    activity   name  watching_tv",['watching tv'],1,Match,0.9938251972198486,"memory_name: activity, entity: name, value: watching tv.","  memory_name entity         value
0    activity   name   watching tv"
Is there anything special planned for today?,yes i have an appointment,013cb4e1-19b0-463e-8d51-b10c5aec7894,"  memory_name entity     value
1    activity   type  activity
2    activity   name   meeting",['meeting'],1,Match,0.9948776960372924,"memory_name: activity, entity: type, value: appointment.","  memory_name entity         value
0    activity   type   appointment"
"Here's a fun and creative game we can play! The Art History Game!, Would you like to play with me?",no not now and we i have to get ready to go shopping,0182d63b-a0d3-437e-b9ef-31e8ee818f94,"  memory_name entity     value
1    activity   type  activity
2    activity   name  shopping",['shopping'],1,Match,0.9948411583900452,"Information Items:
memory_name: place, entity: intent, value: will visit.
memory_name: activity, entity: type, value: activity.
memory_name: activity, entity: name, value: shopping.","  memory_name  entity        value
0       place  intent   will visit
1    activity    type     activity
2    activity    name     shopping"
Wanna test your movie knowledge with the movie emoji game?,no i don't go to movies,0192f581-aae8-446f-8871-d4042da99422,"  memory_name entity     value
1    activity   type  activity
2    activity   name     movie",['movie'],1,Match,0.9779680371284484,"memory_name: activity, entity: name, value: movies.
memory_name: activity, entity: preference, value: not interested.","  memory_name      entity            value
0    activity        name           movies
1    activity  preference   not interested"
I was wondering if you were free for a moment?,no i'm i'm cooking dinner at like you all sit down in a little while,01a04fac-af6d-4c17-b253-e104d5885c0d,"  memory_name entity     value
0    activity   type  activity
1    activity   name   cooking",['cooking'],1,Match,0.9727510213851928,"Information Items:
memory_name: activity, entity: name, value: cooking dinner.","  memory_name entity            value
0    activity   name   cooking dinner"
"I know that you call this lady miss liberty, but what is her story?",he was made by a french artist and given to its and she's in new york city and she was a gift from the people of france,01b9d590-a0cc-469d-9d2a-7b8b99137ee8,"  memory_name entity value
1       place   name  York",['York'],1,Match,0.8061099052429199,"Information Items:
memory_name: person, entity: nickname, value: Miss Liberty.
memory_name: person, entity: origin, value: French artist.
memory_name: person, entity: location, value: New York City.
memory_name: person, entity: reason, value: gift from the people of France.","  memory_name    entity                            value
0      person  nickname                     Miss Liberty
1      person    origin                    French artist
2      person  location                    New York City
3      person    reason   gift from the people of France"
"I’m wondering, are you meeting up with anyone?",yes my doctor,01c0ff9f-065f-40d5-960f-d4e43e638ded,"  memory_name entity     value
1    activity   type  activity
2    activity   name    doctor",['doctor'],1,Match,0.9908474683761596,"Information Items:
memory_name: activity, entity: type, value: activity.
memory_name: activity, entity: name, value: doctor.","  memory_name entity      value
0    activity   type   activity
1    activity   name     doctor"
How can I help you?,say hello to my friend christy,01f50dd7-c6b3-4642-ba66-c46c23097d78,"    memory_name entity   value
0  relationship   type  friend",['friend'],1,Match,0.5415864586830139,"Information Items:
memory_name: relationship, entity: type, value: friend.
memory_name: person, entity: name, value: Christy.","    memory_name entity     value
0  relationship   type    friend
1        person   name   Christy"
How can I help you?,i'm going to take your advice and go out for a walk,0217fcdd-73a9-43a6-9c54-e23e02d2ec83,"  memory_name entity     value
1    activity   type  activity
2    activity   name   walking",['walking'],1,Match,0.9801904559135436,"Information Items:
memory_name: activity, entity: type, value: physical activity.
memory_name: activity, entity: name, value: walking.","  memory_name entity               value
0    activity   type   physical activity
1    activity   name             walking"
are you free to talk for a moment?,cute i'm on my way to lunch,022ed2dc-67b5-4f8f-896a-9deffe263626,"  memory_name entity  value
1       place   name  lunch
2    activity   type   meal
3    activity   name  lunch",['lunch'],1,Match,0.9479682445526124,"memory_name: activity, entity: name, value: lunch.","  memory_name entity   value
0    activity   name   lunch"
