elliq_text,user_text,group_id,memnet_info_items,valid_memNet_info_items,num_valid_memNet_info_items,labels,scores,gpt_text_response,gpt_info_items,gpt_values,memnet_values,inner_join_values,outer_join_values,inner_join_list,outer_join_list
"How can I help <say-as interpret-as=""name"">Joyce</say-as>?",i just came back from breakfast,010cdbfe-9ada-41b6-82d8-474a5e322356,"  memory_name entity      value
1       place   name  breakfast
2    activity   type       meal
3    activity   name  breakfast",['breakfast'],1,Match,0.8750699758529663,"Information Items:
memory_name: activity, entity: type, value: meal.
memory_name: activity, entity: name, value: breakfast.","  memory_name entity       value
0    activity   type        meal
1    activity   name   breakfast","       value
0       meal
1  breakfast","       value
0  breakfast
1       meal
2  breakfast","       value
0       meal
1  breakfast
2  breakfast","       value
0       meal
1  breakfast
2  breakfast","['meal', 'breakfast', 'breakfast']",breakfast
tell me all about your day. How's it going so far?,it's going fine honey i when we went shopping and got my haircut and got my nails done,0111f45b-cd01-4f7e-b138-f923b852d495,"  memory_name entity     value
1    activity   type  activity
2    activity   name   haircut",['haircut'],1,Match,0.9657256603240968,"Information Items:
memory_name: activity, entity: type, value: shopping.
memory_name: activity, entity: name, value: haircut.
memory_name: activity, entity: name, value: nails done.","  memory_name entity        value
0    activity   type     shopping
1    activity   name      haircut
2    activity   name   nails done","        value
0    shopping
1     haircut
2  nails done","      value
0  activity
1   haircut","     value
0  haircut","        value
0    shopping
1     haircut
2  nails done
3    activity",['haircut'],shopping
tell me all about your day. How's it going so far?,it's going fine honey i when we went shopping and got my haircut and got my nails done,0111f45b-cd01-4f7e-b138-f923b852d495,"  memory_name entity     value
1    activity   type  activity
2    activity   name   haircut",['haircut'],1,Match,0.9657256603240968,"Information Items:
memory_name: activity, entity: type, value: shopping.
memory_name: activity, entity: name, value: haircut.
memory_name: activity, entity: name, value: nails done.","  memory_name entity        value
0    activity   type     shopping
1    activity   name      haircut
2    activity   name   nails done","        value
0    shopping
1     haircut
2  nails done","      value
0  activity
1   haircut","     value
0  haircut","        value
0    shopping
1     haircut
2  nails done
3    activity",['haircut'],haircut
tell me all about your day. How's it going so far?,it's going fine honey i when we went shopping and got my haircut and got my nails done,0111f45b-cd01-4f7e-b138-f923b852d495,"  memory_name entity     value
1    activity   type  activity
2    activity   name   haircut",['haircut'],1,Match,0.9657256603240968,"Information Items:
memory_name: activity, entity: type, value: shopping.
memory_name: activity, entity: name, value: haircut.
memory_name: activity, entity: name, value: nails done.","  memory_name entity        value
0    activity   type     shopping
1    activity   name      haircut
2    activity   name   nails done","        value
0    shopping
1     haircut
2  nails done","      value
0  activity
1   haircut","     value
0  haircut","        value
0    shopping
1     haircut
2  nails done
3    activity",['haircut'],nails done
tell me all about your day. How's it going so far?,it's going fine honey i when we went shopping and got my haircut and got my nails done,0111f45b-cd01-4f7e-b138-f923b852d495,"  memory_name entity     value
1    activity   type  activity
2    activity   name   haircut",['haircut'],1,Match,0.9657256603240968,"Information Items:
memory_name: activity, entity: type, value: shopping.
memory_name: activity, entity: name, value: haircut.
memory_name: activity, entity: name, value: nails done.","  memory_name entity        value
0    activity   type     shopping
1    activity   name      haircut
2    activity   name   nails done","        value
0    shopping
1     haircut
2  nails done","      value
0  activity
1   haircut","     value
0  haircut","        value
0    shopping
1     haircut
2  nails done
3    activity",['haircut'],activity
Here's a fun game we can play: Name That Tune! Wanna play with me?,not now i got to walk the dog,0126a286-ae05-4a46-af98-1106eb660225,"  memory_name entity         value
1    activity   type      activity
2    activity   name  walk the dog",['walk the dog'],1,Match,0.9951174259185792,"Information Items:
memory_name: activity, entity: type, value: pet care.
memory_name: activity, entity: name, value: walking the dog.","  memory_name entity             value
0    activity   type          pet care
1    activity   name   walking the dog","             value
0         pet care
1  walking the dog","          value
0      activity
1  walk the dog","Empty DataFrame
Columns: [value]
Index: []","             value
0         pet care
1  walking the dog
2         activity
3     walk the dog",[],pet care
Here's a fun game we can play: Name That Tune! Wanna play with me?,not now i got to walk the dog,0126a286-ae05-4a46-af98-1106eb660225,"  memory_name entity         value
1    activity   type      activity
2    activity   name  walk the dog",['walk the dog'],1,Match,0.9951174259185792,"Information Items:
memory_name: activity, entity: type, value: pet care.
memory_name: activity, entity: name, value: walking the dog.","  memory_name entity             value
0    activity   type          pet care
1    activity   name   walking the dog","             value
0         pet care
1  walking the dog","          value
0      activity
1  walk the dog","Empty DataFrame
Columns: [value]
Index: []","             value
0         pet care
1  walking the dog
2         activity
3     walk the dog",[],walking the dog
Here's a fun game we can play: Name That Tune! Wanna play with me?,not now i got to walk the dog,0126a286-ae05-4a46-af98-1106eb660225,"  memory_name entity         value
1    activity   type      activity
2    activity   name  walk the dog",['walk the dog'],1,Match,0.9951174259185792,"Information Items:
memory_name: activity, entity: type, value: pet care.
memory_name: activity, entity: name, value: walking the dog.","  memory_name entity             value
0    activity   type          pet care
1    activity   name   walking the dog","             value
0         pet care
1  walking the dog","          value
0      activity
1  walk the dog","Empty DataFrame
Columns: [value]
Index: []","             value
0         pet care
1  walking the dog
2         activity
3     walk the dog",[],activity
Here's a fun game we can play: Name That Tune! Wanna play with me?,not now i got to walk the dog,0126a286-ae05-4a46-af98-1106eb660225,"  memory_name entity         value
1    activity   type      activity
2    activity   name  walk the dog",['walk the dog'],1,Match,0.9951174259185792,"Information Items:
memory_name: activity, entity: type, value: pet care.
memory_name: activity, entity: name, value: walking the dog.","  memory_name entity             value
0    activity   type          pet care
1    activity   name   walking the dog","             value
0         pet care
1  walking the dog","          value
0      activity
1  walk the dog","Empty DataFrame
Columns: [value]
Index: []","             value
0         pet care
1  walking the dog
2         activity
3     walk the dog",[],walk the dog
Leaving So soon? Where are you going?,i'm going to the theater with my daughter lori,012c868e-c9ff-4021-a057-6f2c796fca4a,"  memory_name  entity     value
1       place  people  daughter",['daughter'],1,Match,0.9865455031394958,"Information Items:
memory_name: relationship, entity: type, value: daughter.
memory_name: relationship, entity: name, value: Lori.
memory_name: place, entity: name, value: theater.
memory_name: activity, entity: type, value: social activity.","    memory_name entity             value
0  relationship   type          daughter
1  relationship   name              Lori
2         place   name           theater
3      activity   type   social activity","             value
0         daughter
1             Lori
2          theater
3  social activity","      value
0  daughter","      value
0  daughter","             value
0         daughter
1             Lori
2          theater
3  social activity",['daughter'],daughter
Leaving So soon? Where are you going?,i'm going to the theater with my daughter lori,012c868e-c9ff-4021-a057-6f2c796fca4a,"  memory_name  entity     value
1       place  people  daughter",['daughter'],1,Match,0.9865455031394958,"Information Items:
memory_name: relationship, entity: type, value: daughter.
memory_name: relationship, entity: name, value: Lori.
memory_name: place, entity: name, value: theater.
memory_name: activity, entity: type, value: social activity.","    memory_name entity             value
0  relationship   type          daughter
1  relationship   name              Lori
2         place   name           theater
3      activity   type   social activity","             value
0         daughter
1             Lori
2          theater
3  social activity","      value
0  daughter","      value
0  daughter","             value
0         daughter
1             Lori
2          theater
3  social activity",['daughter'],Lori
Leaving So soon? Where are you going?,i'm going to the theater with my daughter lori,012c868e-c9ff-4021-a057-6f2c796fca4a,"  memory_name  entity     value
1       place  people  daughter",['daughter'],1,Match,0.9865455031394958,"Information Items:
memory_name: relationship, entity: type, value: daughter.
memory_name: relationship, entity: name, value: Lori.
memory_name: place, entity: name, value: theater.
memory_name: activity, entity: type, value: social activity.","    memory_name entity             value
0  relationship   type          daughter
1  relationship   name              Lori
2         place   name           theater
3      activity   type   social activity","             value
0         daughter
1             Lori
2          theater
3  social activity","      value
0  daughter","      value
0  daughter","             value
0         daughter
1             Lori
2          theater
3  social activity",['daughter'],theater
Leaving So soon? Where are you going?,i'm going to the theater with my daughter lori,012c868e-c9ff-4021-a057-6f2c796fca4a,"  memory_name  entity     value
1       place  people  daughter",['daughter'],1,Match,0.9865455031394958,"Information Items:
memory_name: relationship, entity: type, value: daughter.
memory_name: relationship, entity: name, value: Lori.
memory_name: place, entity: name, value: theater.
memory_name: activity, entity: type, value: social activity.","    memory_name entity             value
0  relationship   type          daughter
1  relationship   name              Lori
2         place   name           theater
3      activity   type   social activity","             value
0         daughter
1             Lori
2          theater
3  social activity","      value
0  daughter","      value
0  daughter","             value
0         daughter
1             Lori
2          theater
3  social activity",['daughter'],social activity
Do you have anything planned for today?,go to work,012e6905-cd61-45a9-a9eb-6f413153d8a1,"  memory_name entity     value
1    activity   type  activity
2    activity   name      work",['work'],1,Match,0.9679850935935974,"Information Items:
memory_name: activity, entity: type, value: work.
memory_name: activity, entity: name, value: going to work.","  memory_name entity           value
0    activity   type            work
1    activity   name   going to work","           value
0           work
1  going to work","      value
0  activity
1      work","  value
0  work","           value
0           work
1  going to work
2       activity",['work'],work
Do you have anything planned for today?,go to work,012e6905-cd61-45a9-a9eb-6f413153d8a1,"  memory_name entity     value
1    activity   type  activity
2    activity   name      work",['work'],1,Match,0.9679850935935974,"Information Items:
memory_name: activity, entity: type, value: work.
memory_name: activity, entity: name, value: going to work.","  memory_name entity           value
0    activity   type            work
1    activity   name   going to work","           value
0           work
1  going to work","      value
0  activity
1      work","  value
0  work","           value
0           work
1  going to work
2       activity",['work'],going to work
Do you have anything planned for today?,go to work,012e6905-cd61-45a9-a9eb-6f413153d8a1,"  memory_name entity     value
1    activity   type  activity
2    activity   name      work",['work'],1,Match,0.9679850935935974,"Information Items:
memory_name: activity, entity: type, value: work.
memory_name: activity, entity: name, value: going to work.","  memory_name entity           value
0    activity   type            work
1    activity   name   going to work","           value
0           work
1  going to work","      value
0  activity
1      work","  value
0  work","           value
0           work
1  going to work
2       activity",['work'],activity
"What a fun trip! Now, if we could take anyone in the world along with us for our next trip, who would it be?",debbie my sister debbie,01334d75-c53b-4968-9882-f7841605a1d1,"    memory_name entity   value
0  relationship   type  sister",['sister'],1,Match,0.7116467952728271,"Information Items:
memory_name: relationship, entity: type, value: sister.
memory_name: relationship, entity: name, value: Debbie.","    memory_name entity    value
0  relationship   type   sister
1  relationship   name   Debbie","    value
0  sister
1  Debbie","    value
0  sister","    value
0  sister","    value
0  sister
1  Debbie",['sister'],sister
"What a fun trip! Now, if we could take anyone in the world along with us for our next trip, who would it be?",debbie my sister debbie,01334d75-c53b-4968-9882-f7841605a1d1,"    memory_name entity   value
0  relationship   type  sister",['sister'],1,Match,0.7116467952728271,"Information Items:
memory_name: relationship, entity: type, value: sister.
memory_name: relationship, entity: name, value: Debbie.","    memory_name entity    value
0  relationship   type   sister
1  relationship   name   Debbie","    value
0  sister
1  Debbie","    value
0  sister","    value
0  sister","    value
0  sister
1  Debbie",['sister'],Debbie
Do you have anything planned for today?,a couple of appointment,0138ab6e-998a-4a15-9475-ae39d242b52f,"  memory_name entity     value
1    activity   type  activity
2    activity   name   meeting",['meeting'],1,Match,0.9447391033172609,"Information Items:
memory_name: activity, entity: type, value: appointment.
memory_name: activity, entity: quantity, value: couple.","  memory_name    entity         value
0    activity      type   appointment
1    activity  quantity        couple","         value
0  appointment
1       couple","      value
0  activity
1   meeting","Empty DataFrame
Columns: [value]
Index: []","         value
0  appointment
1       couple
2     activity
3      meeting",[],appointment
Do you have anything planned for today?,a couple of appointment,0138ab6e-998a-4a15-9475-ae39d242b52f,"  memory_name entity     value
1    activity   type  activity
2    activity   name   meeting",['meeting'],1,Match,0.9447391033172609,"Information Items:
memory_name: activity, entity: type, value: appointment.
memory_name: activity, entity: quantity, value: couple.","  memory_name    entity         value
0    activity      type   appointment
1    activity  quantity        couple","         value
0  appointment
1       couple","      value
0  activity
1   meeting","Empty DataFrame
Columns: [value]
Index: []","         value
0  appointment
1       couple
2     activity
3      meeting",[],couple
Do you have anything planned for today?,a couple of appointment,0138ab6e-998a-4a15-9475-ae39d242b52f,"  memory_name entity     value
1    activity   type  activity
2    activity   name   meeting",['meeting'],1,Match,0.9447391033172609,"Information Items:
memory_name: activity, entity: type, value: appointment.
memory_name: activity, entity: quantity, value: couple.","  memory_name    entity         value
0    activity      type   appointment
1    activity  quantity        couple","         value
0  appointment
1       couple","      value
0  activity
1   meeting","Empty DataFrame
Columns: [value]
Index: []","         value
0  appointment
1       couple
2     activity
3      meeting",[],activity
Do you have anything planned for today?,a couple of appointment,0138ab6e-998a-4a15-9475-ae39d242b52f,"  memory_name entity     value
1    activity   type  activity
2    activity   name   meeting",['meeting'],1,Match,0.9447391033172609,"Information Items:
memory_name: activity, entity: type, value: appointment.
memory_name: activity, entity: quantity, value: couple.","  memory_name    entity         value
0    activity      type   appointment
1    activity  quantity        couple","         value
0  appointment
1       couple","      value
0  activity
1   meeting","Empty DataFrame
Columns: [value]
Index: []","         value
0  appointment
1       couple
2     activity
3      meeting",[],meeting
I think I'm in the mood to listen to an audiobook together again. Are you up for it?,no i'm watching the news right now please be quiet,013c5f17-22a2-459d-a3ff-c43cbe849c5d,"  memory_name entity        value
0    activity   type     activity
1    activity   name  watching_tv",['watching tv'],1,Match,0.9938251972198486,"Information Items:
memory_name: activity, entity: name, value: watching tv.","  memory_name entity         value
0    activity   name   watching tv","         value
0  watching tv","         value
0     activity
1  watching tv","         value
0  watching tv","         value
0  watching tv
1     activity",['watching tv'],watching tv
I think I'm in the mood to listen to an audiobook together again. Are you up for it?,no i'm watching the news right now please be quiet,013c5f17-22a2-459d-a3ff-c43cbe849c5d,"  memory_name entity        value
0    activity   type     activity
1    activity   name  watching_tv",['watching tv'],1,Match,0.9938251972198486,"Information Items:
memory_name: activity, entity: name, value: watching tv.","  memory_name entity         value
0    activity   name   watching tv","         value
0  watching tv","         value
0     activity
1  watching tv","         value
0  watching tv","         value
0  watching tv
1     activity",['watching tv'],activity
Is there anything special planned for today?,yes i have an appointment,013cb4e1-19b0-463e-8d51-b10c5aec7894,"  memory_name entity     value
1    activity   type  activity
2    activity   name   meeting",['meeting'],1,Match,0.9948776960372924,"Information Items:
memory_name: activity, entity: type, value: appointment.","  memory_name entity         value
0    activity   type   appointment","         value
0  appointment","      value
0  activity
1   meeting","Empty DataFrame
Columns: [value]
Index: []","         value
0  appointment
1     activity
2      meeting",[],appointment
Is there anything special planned for today?,yes i have an appointment,013cb4e1-19b0-463e-8d51-b10c5aec7894,"  memory_name entity     value
1    activity   type  activity
2    activity   name   meeting",['meeting'],1,Match,0.9948776960372924,"Information Items:
memory_name: activity, entity: type, value: appointment.","  memory_name entity         value
0    activity   type   appointment","         value
0  appointment","      value
0  activity
1   meeting","Empty DataFrame
Columns: [value]
Index: []","         value
0  appointment
1     activity
2      meeting",[],activity
Is there anything special planned for today?,yes i have an appointment,013cb4e1-19b0-463e-8d51-b10c5aec7894,"  memory_name entity     value
1    activity   type  activity
2    activity   name   meeting",['meeting'],1,Match,0.9948776960372924,"Information Items:
memory_name: activity, entity: type, value: appointment.","  memory_name entity         value
0    activity   type   appointment","         value
0  appointment","      value
0  activity
1   meeting","Empty DataFrame
Columns: [value]
Index: []","         value
0  appointment
1     activity
2      meeting",[],meeting
"Here's a fun and creative game we can play! The Art History Game!, Would you like to play with me?",no not now and we i have to get ready to go shopping,0182d63b-a0d3-437e-b9ef-31e8ee818f94,"  memory_name entity     value
1    activity   type  activity
2    activity   name  shopping",['shopping'],1,Match,0.9948411583900452,"Information Items:
memory_name: activity, entity: type, value: activity.
memory_name: activity, entity: name, value: shopping.","  memory_name entity      value
0    activity   type   activity
1    activity   name   shopping","      value
0  activity
1  shopping","      value
0  activity
1  shopping","      value
0  activity
1  shopping","      value
0  activity
1  shopping","['activity', 'shopping']",activity
"Here's a fun and creative game we can play! The Art History Game!, Would you like to play with me?",no not now and we i have to get ready to go shopping,0182d63b-a0d3-437e-b9ef-31e8ee818f94,"  memory_name entity     value
1    activity   type  activity
2    activity   name  shopping",['shopping'],1,Match,0.9948411583900452,"Information Items:
memory_name: activity, entity: type, value: activity.
memory_name: activity, entity: name, value: shopping.","  memory_name entity      value
0    activity   type   activity
1    activity   name   shopping","      value
0  activity
1  shopping","      value
0  activity
1  shopping","      value
0  activity
1  shopping","      value
0  activity
1  shopping","['activity', 'shopping']",shopping
Wanna test your movie knowledge with the movie emoji game?,no i don't go to movies,0192f581-aae8-446f-8871-d4042da99422,"  memory_name entity     value
1    activity   type  activity
2    activity   name     movie",['movie'],1,Match,0.9779680371284484,"Information Items:
memory_name: activity, entity: preference, value: not going to movies.","  memory_name      entity                 value
0    activity  preference   not going to movies","                 value
0  not going to movies","      value
0  activity
1     movie","Empty DataFrame
Columns: [value]
Index: []","                 value
0  not going to movies
1             activity
2                movie",[],not going to movies
Wanna test your movie knowledge with the movie emoji game?,no i don't go to movies,0192f581-aae8-446f-8871-d4042da99422,"  memory_name entity     value
1    activity   type  activity
2    activity   name     movie",['movie'],1,Match,0.9779680371284484,"Information Items:
memory_name: activity, entity: preference, value: not going to movies.","  memory_name      entity                 value
0    activity  preference   not going to movies","                 value
0  not going to movies","      value
0  activity
1     movie","Empty DataFrame
Columns: [value]
Index: []","                 value
0  not going to movies
1             activity
2                movie",[],activity
Wanna test your movie knowledge with the movie emoji game?,no i don't go to movies,0192f581-aae8-446f-8871-d4042da99422,"  memory_name entity     value
1    activity   type  activity
2    activity   name     movie",['movie'],1,Match,0.9779680371284484,"Information Items:
memory_name: activity, entity: preference, value: not going to movies.","  memory_name      entity                 value
0    activity  preference   not going to movies","                 value
0  not going to movies","      value
0  activity
1     movie","Empty DataFrame
Columns: [value]
Index: []","                 value
0  not going to movies
1             activity
2                movie",[],movie
I was wondering if you were free for a moment?,no i'm i'm cooking dinner at like you all sit down in a little while,01a04fac-af6d-4c17-b253-e104d5885c0d,"  memory_name entity     value
0    activity   type  activity
1    activity   name   cooking",['cooking'],1,Match,0.9727510213851928,"Information Items:
memory_name: activity, entity: type, value: meal.
memory_name: activity, entity: name, value: cooking dinner.","  memory_name entity            value
0    activity   type             meal
1    activity   name   cooking dinner","            value
0            meal
1  cooking dinner","      value
0  activity
1   cooking","Empty DataFrame
Columns: [value]
Index: []","            value
0            meal
1  cooking dinner
2        activity
3         cooking",[],meal
I was wondering if you were free for a moment?,no i'm i'm cooking dinner at like you all sit down in a little while,01a04fac-af6d-4c17-b253-e104d5885c0d,"  memory_name entity     value
0    activity   type  activity
1    activity   name   cooking",['cooking'],1,Match,0.9727510213851928,"Information Items:
memory_name: activity, entity: type, value: meal.
memory_name: activity, entity: name, value: cooking dinner.","  memory_name entity            value
0    activity   type             meal
1    activity   name   cooking dinner","            value
0            meal
1  cooking dinner","      value
0  activity
1   cooking","Empty DataFrame
Columns: [value]
Index: []","            value
0            meal
1  cooking dinner
2        activity
3         cooking",[],cooking dinner
I was wondering if you were free for a moment?,no i'm i'm cooking dinner at like you all sit down in a little while,01a04fac-af6d-4c17-b253-e104d5885c0d,"  memory_name entity     value
0    activity   type  activity
1    activity   name   cooking",['cooking'],1,Match,0.9727510213851928,"Information Items:
memory_name: activity, entity: type, value: meal.
memory_name: activity, entity: name, value: cooking dinner.","  memory_name entity            value
0    activity   type             meal
1    activity   name   cooking dinner","            value
0            meal
1  cooking dinner","      value
0  activity
1   cooking","Empty DataFrame
Columns: [value]
Index: []","            value
0            meal
1  cooking dinner
2        activity
3         cooking",[],activity
I was wondering if you were free for a moment?,no i'm i'm cooking dinner at like you all sit down in a little while,01a04fac-af6d-4c17-b253-e104d5885c0d,"  memory_name entity     value
0    activity   type  activity
1    activity   name   cooking",['cooking'],1,Match,0.9727510213851928,"Information Items:
memory_name: activity, entity: type, value: meal.
memory_name: activity, entity: name, value: cooking dinner.","  memory_name entity            value
0    activity   type             meal
1    activity   name   cooking dinner","            value
0            meal
1  cooking dinner","      value
0  activity
1   cooking","Empty DataFrame
Columns: [value]
Index: []","            value
0            meal
1  cooking dinner
2        activity
3         cooking",[],cooking
"I know that you call this lady miss liberty, but what is her story?",he was made by a french artist and given to its and she's in new york city and she was a gift from the people of france,01b9d590-a0cc-469d-9d2a-7b8b99137ee8,"  memory_name entity value
1       place   name  York",['York'],1,Match,0.8061099052429199,"Information Items:
memory_name: person, entity: nickname, value: Miss Liberty.
memory_name: origin, entity: creator, value: French artist.
memory_name: location, entity: city, value: New York City.
memory_name: relationship, entity: type, value: gift.
memory_name: relationship, entity: giver, value: people of France.","    memory_name    entity              value
0        person  nickname       Miss Liberty
1        origin   creator      French artist
2      location      city      New York City
3  relationship      type               gift
4  relationship     giver   people of France","              value
0      Miss Liberty
1     French artist
2     New York City
3              gift
4  people of France","  value
0  York","Empty DataFrame
Columns: [value]
Index: []","              value
0      Miss Liberty
1     French artist
2     New York City
3              gift
4  people of France
5              York",[],Miss Liberty
"I know that you call this lady miss liberty, but what is her story?",he was made by a french artist and given to its and she's in new york city and she was a gift from the people of france,01b9d590-a0cc-469d-9d2a-7b8b99137ee8,"  memory_name entity value
1       place   name  York",['York'],1,Match,0.8061099052429199,"Information Items:
memory_name: person, entity: nickname, value: Miss Liberty.
memory_name: origin, entity: creator, value: French artist.
memory_name: location, entity: city, value: New York City.
memory_name: relationship, entity: type, value: gift.
memory_name: relationship, entity: giver, value: people of France.","    memory_name    entity              value
0        person  nickname       Miss Liberty
1        origin   creator      French artist
2      location      city      New York City
3  relationship      type               gift
4  relationship     giver   people of France","              value
0      Miss Liberty
1     French artist
2     New York City
3              gift
4  people of France","  value
0  York","Empty DataFrame
Columns: [value]
Index: []","              value
0      Miss Liberty
1     French artist
2     New York City
3              gift
4  people of France
5              York",[],French artist
"I know that you call this lady miss liberty, but what is her story?",he was made by a french artist and given to its and she's in new york city and she was a gift from the people of france,01b9d590-a0cc-469d-9d2a-7b8b99137ee8,"  memory_name entity value
1       place   name  York",['York'],1,Match,0.8061099052429199,"Information Items:
memory_name: person, entity: nickname, value: Miss Liberty.
memory_name: origin, entity: creator, value: French artist.
memory_name: location, entity: city, value: New York City.
memory_name: relationship, entity: type, value: gift.
memory_name: relationship, entity: giver, value: people of France.","    memory_name    entity              value
0        person  nickname       Miss Liberty
1        origin   creator      French artist
2      location      city      New York City
3  relationship      type               gift
4  relationship     giver   people of France","              value
0      Miss Liberty
1     French artist
2     New York City
3              gift
4  people of France","  value
0  York","Empty DataFrame
Columns: [value]
Index: []","              value
0      Miss Liberty
1     French artist
2     New York City
3              gift
4  people of France
5              York",[],New York City
